id,name,email,phone,address,password_hash,status,registration_date,last_visit,total_visits,total_spent,notes,created_at,updated_at
cliente1,andre,andre@taller.com,983542675,asdfsdfa,default123,active,2024-01-01T00:00:00Z,,0,0,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
cliente2,ALLAN MEDINA,amedina@taller.com,97896227,,asdf1234,active,2025-09-22T14:12:20.245Z,,0,0,Registrado desde login,2025-09-22T14:12:20.247Z,2025-09-22T14:12:20.247Z
cliente3,Juan Prueba,prueba@test.com,123456789,,test123,active,2025-09-22T14:56:38.670Z,,0,0,Registrado desde login,2025-09-22T14:56:38.673Z,2025-09-22T14:56:38.673Z
clients-1758553907575-44cd2c41,katerine quintero,kquintero@taller.com,97896538,,asdf1234,active,2025-09-22T15:11:47.574Z,,0,0,Registrado desde login,2025-09-22T15:11:47.575Z,2025-09-22T15:11:47.575Zclient-1758885769356-87o24p23d,Juan Pérez,juan.perez@email.com,9999-1234,"Col. Centro, Calle 5 #123",mipassword123,active,2025-09-26,,,,Importado desde Excel,2025-09-26T11:22:49.357Z,2025-09-26T11:22:49.357Z
client-1758885769357-oy1blzm2r,María González,maria.gonzalez@email.com,9999-5678,"Barrio Norte, Av. Principal #456",password456,active,2025-09-26,,,,Importado desde Excel,2025-09-26T11:22:49.357Z,2025-09-26T11:22:49.357Z
client-1758885769357-nwg15xfv9,USUARIO DE PRUEBA 1,user1@taller.com,9999-9991,barrio w,asdf1234,active,2025-09-26,,,,Importado desde Excel,2025-09-26T11:22:49.357Z,2025-09-26T11:22:49.357Z
client-1758885769357-eujrnjgrv,USUARIO DE PRUEBA 2,user2@taller.com,9999-9992,barrio x,asdf1234,active,2025-09-26,,,,Importado desde Excel,2025-09-26T11:22:49.357Z,2025-09-26T11:22:49.357Z
client-1758885769357-dnf48y7on,USUARIO DE PRUEBA 3,user3@taller.com,9999-9993,barrio y,asdf1234,active,2025-09-26,,,,Importado desde Excel,2025-09-26T11:22:49.357Z,2025-09-26T11:22:49.357Z
client-1758885769357-mi9t4of5z,USUARIO DE PRUEBA 4,user4@taller.com,9999-9994,barrio z,asdf1234,active,2025-09-26,,,,Importado desde Excel,2025-09-26T11:22:49.357Z,2025-09-26T11:22:49.357Z
client-1758885791573-dm5mft3om,Juan Pérez,juan.perez@email.com,9999-1234,"Col. Centro, Calle 5 #123",mipassword123,active,2025-09-26,,,,Importado desde Excel,2025-09-26T11:23:11.573Z,2025-09-26T11:23:11.573Z
