id,name,email,phone,address,password_hash,status,registration_date,last_visit,total_visits,total_spent,notes,created_at,updated_at
cliente1,andre,andre@taller.com,983542675,asdfsdfa,default123,active,2024-01-01T00:00:00Z,,0,0,,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
cliente2,ALLAN MEDINA,amedina@taller.com,97896227,,asdf1234,active,2025-09-22T14:12:20.245Z,,0,0,Registrado desde login,2025-09-22T14:12:20.247Z,2025-09-22T14:12:20.247Z
cliente3,Juan Prueba,prueba@test.com,123456789,,test123,active,2025-09-22T14:56:38.670Z,,0,0,Registrado desde login,2025-09-22T14:56:38.673Z,2025-09-22T14:56:38.673Z
clients-1758553907575-44cd2c41,katerine quintero,kquintero@taller.com,97896538,,asdf1234,active,2025-09-22T15:11:47.574Z,,0,0,Registrado desde login,2025-09-22T15:11:47.575Z,2025-09-22T15:11:47.575Z
clients-1758554003201-e542790a,yamileth castro,ycastro@taller.com,99354234,barrio xy,asdf1234,active,2025-09-22T15:13:23.200Z,,0,0,,2025-09-22T15:13:23.201Z,2025-09-22T15:13:23.201Z
client-1758728426285-sb6cb7s7r,Juan Pérez,juan.perez@email.com,9999-1234,"Col. Centro, Calle 5 #123",mipassword123,active,2025-09-24,,,,Importado desde Excel,2025-09-24T15:40:26.285Z,2025-09-24T15:40:26.285Z
client-1758728426285-wpizlxdby,María González,maria.gonzalez@email.com,9999-5678,"Barrio Norte, Av. Principal #456",password456,active,2025-09-24,,,,Importado desde Excel,2025-09-24T15:40:26.285Z,2025-09-24T15:40:26.285Z
client-1758728426285-8krejq1h3,USUARIO DE PRUEBA 1,user1@taller.com,9999-9991,barrio w,asdf1234,active,2025-09-24,,,,Importado desde Excel,2025-09-24T15:40:26.285Z,2025-09-24T15:40:26.285Z
client-1758728426285-xdlugtyn5,USUARIO DE PRUEBA 2,user2@taller.com,9999-9992,barrio x,asdf1234,active,2025-09-24,,,,Importado desde Excel,2025-09-24T15:40:26.285Z,2025-09-24T15:40:26.285Z
client-1758728426285-v84arpaql,USUARIO DE PRUEBA 3,user3@taller.com,9999-9993,barrio y,asdf1234,active,2025-09-24,,,,Importado desde Excel,2025-09-24T15:40:26.285Z,2025-09-24T15:40:26.285Z
client-1758728426285-qtmlsofxk,USUARIO DE PRUEBA 4,user4@taller.com,9999-9994,barrio z,asdf1234,active,2025-09-24,,,,Importado desde Excel,2025-09-24T15:40:26.285Z,2025-09-24T15:40:26.285Z
